Part ID,Part #,Description
DB-HPA3C,002-5622,3.5 Watt Audio Power and Headphone Amplifier - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-J1,001-5468,"Microphone Input Assembly - XLR, Terminal block - Black"
DB-J1C,002-5468,"Microphone Input Assembly - XLR, Terminal block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DB-J2,001-5478,"Line Input Assembly - RCA jacks, Terminal block - Black"
DB-J2C,002-5478,"Line Input Assembly - RCA jacks, Terminal block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DB-J3,001-5488,"Mic/Line Input Assembly - XLR, RCA, Terminal block - Black"
DB-J3C,002-5488,"Mic/Line Input Assembly - XLR, RCA, Terminal block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DB-J3M,001-5487,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block - Black"
DB-J3MC,002-5487,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-BLANK,001-0134,D Style Plate with No Jack Cut Out
D-BLANKC,002-0134,D Style Plate with No Jack Cut Out (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-MJPT,001-5463,Mini-Jack Pass-Through Plate
DB-MJPTC,002-5463,Mini-Jack Pass-Through Plate (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-BNC,001-0137,BNC Jack on D Plate - Solder type
D-BNC/D,001-0138,Insulated Double BNC Jack on D Plate
D-BNC/DC,002-0138,Insulated Double BNC Jack on D Plate (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-BNCC,002-0137,BNC Jack on D Plate - Solder type (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-NLC1,001-7631,Network Remote Control with LEDs - Dante - Black
DB-NLC1R,001-7681,Network Remote Control with LEDs - Dante - Black
DB-NMC1,001-7636,Network Remote Control with Screen - Dante - Black
DB-NMC1R,001-7686,Network Remote Control with Screen - Dante - Black
DB-NVC2,001-7717,Dante/AES67 Level Control Two Channel with Screen - BLK
DB-PA3,001-5627,3.5 Watt Decora® Audio Amplifier - Black
DB-PA3C,002-5627,3.5 Watt Decora® Audio Amplifier - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-PHN1,001-0186,Single Phono Jack on D Plate - Solder type - Black
